Zeit;Kanal A
(ms);(mV)

-21,94899913;-3,17359700
-21,94399913;-2,98658900
-21,93899913;-3,35999000
-21,93399913;-1,67999500
-21,92899913;-2,98658900
-21,92399913;-3,17359700
-21,91899913;-2,42679600
-21,91399913;-3,17359700
-21,90899913;-2,61318900
-21,90399913;-3,17359700
-21,89899913;-2,80019700
-21,89399913;-2,80019700
-21,88899913;-3,54699800
-21,88399913;-3,54699800
-21,87899913;-2,61318900
-21,87399913;-3,92039800
-21,86899913;-2,80019700
-21,86399913;-2,05339600
-21,85899913;-2,98658900
-21,85399913;-6,53358700
-21,84899913;-2,05339600
-21,84399913;-2,98658900
-21,83899913;-2,98658900
-21,83399913;-2,42679600
-21,82899913;-2,61318900
-21,82399913;-2,61318900
-21,81899913;-2,05339600
-21,81399913;-2,61318900
-21,80899913;-1,67999500
-21,80399913;-2,61318900
-21,79899913;0,00000000
-21,79399913;-2,42679600
-21,78899913;-1,30659400
-21,78399913;-1,67999500
-21,77899913;-2,05339600
-21,77399913;-1,30659400
-21,76899913;-0,74618600
-21,76399913;-1,30659400
-21,75899913;-1,11958700
-21,75399913;-1,67999500
-21,74899913;-1,30659400
-21,74399913;-1,67999500
-21,73899913;-1,67999500
-21,73399913;-2,61318900
-21,72899913;-1,30659400
-21,72399913;-1,11958700
-21,71899913;-1,67999500
-21,71399913;-1,30659400
-21,70899914;-2,05339600
-21,70399914;-0,18639270
-21,69899914;-0,55979330
-21,69399914;0,18639270
-21,68899914;0,00000000
-21,68399914;1,67999500
-21,67899914;2,23978800
-21,67399914;1,49298700
-21,66899914;3,54699800
-21,66399914;2,98658900
-21,65899914;3,92039800
-21,65399914;2,98658900
-21,64899914;2,80019700
-21,64399914;2,98658900
-21,63899914;1,67999500
-21,63399914;1,49298700
-21,62899914;2,23978800
-21,62399914;-1,49298700
-21,61899914;-1,11958700
-21,61399914;-0,93319390
-21,60899914;-1,49298700
-21,60399914;-1,67999500
-21,59899914;-1,49298700
-21,59399914;-1,67999500
-21,58899914;-0,37278540
-21,58399914;0,00000000
